question_id,db_id,method,tier,hardness,table_tp,table_fp,table_fn,table_precision,table_recall,table_f1,table_srr_hit,table_predicted_count,table_gold_count,table_hallucinated,column_tp,column_fp,column_fn,column_precision,column_recall,column_f1,column_srr_hit,column_predicted_count,column_gold_count,column_hallucinated,hallucination_rate,hallucinated_tables_list,hallucinated_columns_list
0,concert_singer,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
1,concert_singer,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
2,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,3,5,0,0.375,1.0,0.5454545454545454,True,8,3,0,0.0,,
3,concert_singer,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,3,3,0,0.5,1.0,0.6666666666666666,True,6,3,0,0.0,,
4,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
5,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
6,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,True,7,2,0,0.0,,
7,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,2,4,0,0.3333333333333333,1.0,0.5,True,6,2,0,0.0,,
8,concert_singer,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,2,3,0,0.4,1.0,0.5714285714285715,True,5,2,0,0.0,,
9,concert_singer,lexical,tier1,easy,1,0,0,1.0,1.0,1.0,True,1,1,0,2,3,0,0.4,1.0,0.5714285714285715,True,5,2,0,0.0,,
10,concert_singer,lexical,tier1,medium,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
11,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,2,0,0.3333333333333333,1.0,0.5,True,3,1,0,0.0,,
12,concert_singer,lexical,tier1,hard,1,0,0,1.0,1.0,1.0,True,1,1,0,2,6,0,0.25,1.0,0.4,True,8,2,0,0.0,,
13,concert_singer,lexical,tier1,hard,1,0,0,1.0,1.0,1.0,True,1,1,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
14,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,3,3,0,0.5,1.0,0.6666666666666666,True,6,3,0,0.0,,
15,concert_singer,lexical,tier1,medium,0,0,1,1.0,0.0,0.0,False,0,1,0,3,1,0,0.75,1.0,0.8571428571428571,True,4,3,0,0.0,,
16,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,5,0,0.1666666666666666,1.0,0.2857142857142857,True,6,1,0,0.0,,
17,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,4,0,0.2,1.0,0.3333333333333333,True,5,1,0,0.0,,
18,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,3,5,0,0.375,1.0,0.5454545454545454,True,8,3,0,0.0,,
19,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,3,5,0,0.375,1.0,0.5454545454545454,True,8,3,0,0.0,,
20,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,1,4,0,0.2,1.0,0.3333333333333333,True,5,1,0,0.0,,
21,concert_singer,lexical,tier1,medium,1,0,0,1.0,1.0,1.0,True,1,1,0,0,2,0,0.0,1.0,0.0,True,2,0,0,0.0,,
22,concert_singer,lexical,tier1,medium,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,1,6,0,0.1428571428571428,1.0,0.25,True,7,1,0,0.0,,
23,concert_singer,lexical,tier1,medium,2,0,0,1.0,1.0,1.0,True,2,2,0,0,6,0,0.0,1.0,0.0,True,6,0,0,0.0,,
24,concert_singer,lexical,tier1,extra,2,1,0,0.6666666666666666,1.0,0.8,True,3,2,0,3,6,0,0.3333333333333333,1.0,0.5,True,9,3,0,0.0,,
25,concert_singer,lexical,tier1,extra,2,0,0,1.0,1.0,1.0,True,2,2,0,2,7,0,0.2222222222222222,1.0,0.3636363636363636,True,9,2,0,0.0,,
26,concert_singer,lexical,tier1,hard,1,1,0,0.5,1.0,0.6666666666666666,True,2,1,0,1,3,0,0.25,1.0,0.4,True,4,1,0,0.0,,
